AAA,04B00ZZ ,"Excision of Abdominal Aorta, Open Approach",No Change
AAA,04B04ZZ ,"Excision of Abdominal Aorta, Percutaneous Endoscopic Approach",No Change
AAA,04R007Z ,"Replacement of Abdominal Aorta with Autologous Tissue Substitute, Open Approach",No Change
AAA,04R047Z ,"Replacement of Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",No Change
AAA,04R00KZ ,"Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Open Approach",No Change
AAA,04R04KZ ,"Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",No Change
AAA,04R00JZ ,"Replacement of Abdominal Aorta with Synthetic Substitute, Open Approach",No Change
AAA,04R04JZ ,"Replacement of Abdominal Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach",No Change
AMP,0Y640ZZ ,"Detachment at Bilateral Hindquarter, Open Approach",No Change
AMP,0Y6Q0Z0 ,"Detachment at Left 1st Toe, Complete, Open Approach",No Change
AMP,0Y6Q0Z1 ,"Detachment at Left 1st Toe, High, Open Approach",No Change
AMP,0Y6Q0Z3 ,"Detachment at Left 1st Toe, Low, Open Approach",No Change
AMP,0Y6Q0Z2 ,"Detachment at Left 1st Toe, Mid, Open Approach",No Change
AMP,0Y6S0Z0 ,"Detachment at Left 2nd Toe, Complete, Open Approach",No Change
AMP,0Y6S0Z1 ,"Detachment at Left 2nd Toe, High, Open Approach",No Change
AMP,0Y6S0Z3 ,"Detachment at Left 2nd Toe, Low, Open Approach",No Change
AMP,0Y6S0Z2 ,"Detachment at Left 2nd Toe, Mid, Open Approach",No Change
AMP,0Y6U0Z0 ,"Detachment at Left 3rd Toe, Complete, Open Approach",No Change
AMP,0Y6U0Z1 ,"Detachment at Left 3rd Toe, High, Open Approach",No Change
AMP,0Y6U0Z3 ,"Detachment at Left 3rd Toe, Low, Open Approach",No Change
AMP,0Y6U0Z2 ,"Detachment at Left 3rd Toe, Mid, Open Approach",No Change
AMP,0Y6W0Z0 ,"Detachment at Left 4th Toe, Complete, Open Approach",No Change
AMP,0Y6W0Z1 ,"Detachment at Left 4th Toe, High, Open Approach",No Change
AMP,0Y6W0Z3 ,"Detachment at Left 4th Toe, Low, Open Approach",No Change
AMP,0Y6W0Z2 ,"Detachment at Left 4th Toe, Mid, Open Approach",No Change
AMP,0Y6Y0Z0 ,"Detachment at Left 5th Toe, Complete, Open Approach",No Change
AMP,0Y6Y0Z1 ,"Detachment at Left 5th Toe, High, Open Approach",No Change
AMP,0Y6Y0Z3 ,"Detachment at Left 5th Toe, Low, Open Approach",No Change
AMP,0Y6Y0Z2 ,"Detachment at Left 5th Toe, Mid, Open Approach",No Change
AMP,0X6C0ZZ ,"Detachment at Left Elbow Region, Open Approach",No Change
AMP,0Y680ZZ ,"Detachment at Left Femoral Region, Open Approach",No Change
AMP,0Y6N0Z4 ,"Detachment at Left Foot, Complete 1st Ray, Open Approach",No Change
AMP,0Y6N0Z5 ,"Detachment at Left Foot, Complete 2nd Ray, Open Approach",No Change
AMP,0Y6N0Z6 ,"Detachment at Left Foot, Complete 3rd Ray, Open Approach",No Change
AMP,0Y6N0Z7 ,"Detachment at Left Foot, Complete 4th Ray, Open Approach",No Change
AMP,0Y6N0Z8 ,"Detachment at Left Foot, Complete 5th Ray, Open Approach",No Change
AMP,0Y6N0Z0 ,"Detachment at Left Foot, Complete, Open Approach",No Change
AMP,0Y6N0Z9 ,"Detachment at Left Foot, Partial 1st Ray, Open Approach",No Change
AMP,0Y6N0ZB ,"Detachment at Left Foot, Partial 2nd Ray, Open Approach",No Change
AMP,0Y6N0ZC ,"Detachment at Left Foot, Partial 3rd Ray, Open Approach",No Change
AMP,0Y6N0ZD ,"Detachment at Left Foot, Partial 4th Ray, Open Approach",No Change
AMP,0Y6N0ZF ,"Detachment at Left Foot, Partial 5th Ray, Open Approach",No Change
AMP,0X610ZZ ,"Detachment at Left Forequarter, Open Approach",No Change
AMP,0X6K0Z4 ,"Detachment at Left Hand, Complete 1st Ray, Open Approach",No Change
AMP,0X6K0Z5 ,"Detachment at Left Hand, Complete 2nd Ray, Open Approach",No Change
AMP,0X6K0Z6 ,"Detachment at Left Hand, Complete 3rd Ray, Open Approach",No Change
AMP,0X6K0Z7 ,"Detachment at Left Hand, Complete 4th Ray, Open Approach",No Change
AMP,0X6K0Z8 ,"Detachment at Left Hand, Complete 5th Ray, Open Approach",No Change
AMP,0X6K0Z0 ,"Detachment at Left Hand, Complete, Open Approach",No Change
AMP,0X6K0Z9 ,"Detachment at Left Hand, Partial 1st Ray, Open Approach",No Change
AMP,0X6K0ZB ,"Detachment at Left Hand, Partial 2nd Ray, Open Approach",No Change
AMP,0X6K0ZC ,"Detachment at Left Hand, Partial 3rd Ray, Open Approach",No Change
AMP,0X6K0ZD ,"Detachment at Left Hand, Partial 4th Ray, Open Approach",No Change
AMP,0X6K0ZF ,"Detachment at Left Hand, Partial 5th Ray, Open Approach",No Change
AMP,0Y630ZZ ,"Detachment at Left Hindquarter, Open Approach",No Change
AMP,0X6P0Z0 ,"Detachment at Left Index Finger, Complete, Open Approach",No Change
AMP,0X6P0Z1 ,"Detachment at Left Index Finger, High, Open Approach",No Change
AMP,0X6P0Z3 ,"Detachment at Left Index Finger, Low, Open Approach",No Change
AMP,0X6P0Z2 ,"Detachment at Left Index Finger, Mid, Open Approach",No Change
AMP,0Y6G0ZZ ,"Detachment at Left Knee Region, Open Approach",No Change
AMP,0X6W0Z0 ,"Detachment at Left Little Finger, Complete, Open Approach",No Change
AMP,0X6W0Z1 ,"Detachment at Left Little Finger, High, Open Approach",No Change
AMP,0X6W0Z3 ,"Detachment at Left Little Finger, Low, Open Approach",No Change
AMP,0X6W0Z2 ,"Detachment at Left Little Finger, Mid, Open Approach",No Change
AMP,0X6F0Z1 ,"Detachment at Left Lower Arm, High, Open Approach",No Change
AMP,0X6F0Z3 ,"Detachment at Left Lower Arm, Low, Open Approach",No Change
AMP,0X6F0Z2 ,"Detachment at Left Lower Arm, Mid, Open Approach",No Change
AMP,0Y6J0Z1 ,"Detachment at Left Lower Leg, High, Open Approach",No Change
AMP,0Y6J0Z3 ,"Detachment at Left Lower Leg, Low, Open Approach",No Change
AMP,0Y6J0Z2 ,"Detachment at Left Lower Leg, Mid, Open Approach",No Change
AMP,0X6R0Z0 ,"Detachment at Left Middle Finger, Complete, Open Approach",No Change
AMP,0X6R0Z1 ,"Detachment at Left Middle Finger, High, Open Approach",No Change
AMP,0X6R0Z3 ,"Detachment at Left Middle Finger, Low, Open Approach",No Change
AMP,0X6R0Z2 ,"Detachment at Left Middle Finger, Mid, Open Approach",No Change
AMP,0X6T0Z0 ,"Detachment at Left Ring Finger, Complete, Open Approach",No Change
AMP,0X6T0Z1 ,"Detachment at Left Ring Finger, High, Open Approach",No Change
AMP,0X6T0Z3 ,"Detachment at Left Ring Finger, Low, Open Approach",No Change
AMP,0X6T0Z2 ,"Detachment at Left Ring Finger, Mid, Open Approach",No Change
AMP,0X630ZZ ,"Detachment at Left Shoulder Region, Open Approach",No Change
AMP,0X6M0Z0 ,"Detachment at Left Thumb, Complete, Open Approach",No Change
AMP,0X6M0Z1 ,"Detachment at Left Thumb, High, Open Approach",No Change
AMP,0X6M0Z3 ,"Detachment at Left Thumb, Low, Open Approach",No Change
AMP,0X6M0Z2 ,"Detachment at Left Thumb, Mid, Open Approach",No Change
AMP,0X690Z1 ,"Detachment at Left Upper Arm, High, Open Approach",No Change
AMP,0X690Z3 ,"Detachment at Left Upper Arm, Low, Open Approach",No Change
AMP,0X690Z2 ,"Detachment at Left Upper Arm, Mid, Open Approach",No Change
AMP,0Y6D0Z1 ,"Detachment at Left Upper Leg, High, Open Approach",No Change
AMP,0Y6D0Z3 ,"Detachment at Left Upper Leg, Low, Open Approach",No Change
AMP,0Y6D0Z2 ,"Detachment at Left Upper Leg, Mid, Open Approach",No Change
AMP,0Y6P0Z0 ,"Detachment at Right 1st Toe, Complete, Open Approach",No Change
AMP,0Y6P0Z1 ,"Detachment at Right 1st Toe, High, Open Approach",No Change
AMP,0Y6P0Z3 ,"Detachment at Right 1st Toe, Low, Open Approach",No Change
AMP,0Y6P0Z2 ,"Detachment at Right 1st Toe, Mid, Open Approach",No Change
AMP,0Y6R0Z0 ,"Detachment at Right 2nd Toe, Complete, Open Approach2",No Change
AMP,0Y6R0Z1 ,"Detachment at Right 2nd Toe, High, Open Approach",No Change
AMP,0Y6R0Z3 ,"Detachment at Right 2nd Toe, Low, Open Approach",No Change
AMP,0Y6R0Z2 ,"Detachment at Right 2nd Toe, Mid, Open Approach",No Change
AMP,0Y6T0Z0 ,"Detachment at Right 3rd Toe, Complete, Open Approach",No Change
AMP,0Y6T0Z1 ,"Detachment at Right 3rd Toe, High, Open Approach",No Change
AMP,0Y6T0Z3 ,"Detachment at Right 3rd Toe, Low, Open Approach",No Change
AMP,0Y6T0Z2 ,"Detachment at Right 3rd Toe, Mid, Open Approach2",No Change
AMP,0Y6V0Z0 ,"Detachment at Right 4th Toe, Complete, Open Approach",No Change
AMP,0Y6V0Z1 ,"Detachment at Right 4th Toe, High, Open Approach",No Change
AMP,0Y6V0Z3 ,"Detachment at Right 4th Toe, Low, Open Approach",No Change
AMP,0Y6V0Z2 ,"Detachment at Right 4th Toe, Mid, Open Approach",No Change
AMP,0Y6X0Z0 ,"Detachment at Right 5th Toe, Complete, Open Approach",No Change
AMP,0Y6X0Z1 ,"Detachment at Right 5th Toe, High, Open Approach",No Change
