AAA,34830,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; tube prosthesis  ",No change
AAA,34831,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bi-iliac prosthesis ",No change
AAA,34832,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis  ",No change
AAA,35081,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta",No change
AAA,35082,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta  ",No change
AAA,35091,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta involving visceral vessels (mesenteric, celiac, renal) ",No change
AAA,35092,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving visceral vessels (mesenteric, celiac, renal)  ",No change
AAA,35102,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta involving iliac vessels (common, hypogastric, external)  ",No change
AAA,35103,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving iliac vessels (common, hypogastric, external)  ",No change
AMP,23900,Interthoracoscapular amputation (forequarter),No change
AMP,23920,Disarticulation of shoulder,No change
AMP,24900,"Amputation, arm through humerus; with primary closure ",No change
AMP,24920,"Amputation, arm through humerus; open, circular (guillotine) ",No change
AMP,24930,"Amputation, arm through humerus; re-amputation ",No change
AMP,24931,"Amputation, arm through humerus; with implant ",No change
AMP,25900,"Amputation, forearm, through radius and ulna",No change
AMP,25905,"Amputation, forearm, through radius and ulna; open, circular (guillotine) ",No change
AMP,25909,"Amputation, forearm, through radius and ulna; re-amputation",No change
AMP,25920,Disarticulation through wrist,No change
AMP,25922,Disarticulation through wrist; secondary closure or scar revision ,No change
AMP,25924,Disarticulation through wrist; re-amputation ,No change
AMP,25927,Transmetacarpal amputation;  ,No change
AMP,25929,Transmetacarpal amputation; secondary closure or scar revision ,No change
AMP,25931,Transmetacarpal amputation; re-amputation ,No change
AMP,26235,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); proximal or middle phalanx of finger",Add
AMP,26236,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); distal phalanx of finger",Add
